State Name,County Code,FIPS, FI Rate , Number Food Insecure Individuals ,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ? Low Threshold,% FI Btwn Thresholds,% FI > High Threshold, Weighted Annual Dollars , Cost Per Meal ,Child FI Rate,Number Food Insecure Children,% of children in FI HH with HH incomes at or below 185% FPL,% of children in FI HH with HH incomes above 185% FPL,,,,,,Year
AK,ALEUTIANS EAST,2013,0.151,450,130%,SNAP,185%,other nutrition pgm,0.65,0.34,0,n/a,n/a,0.248,100,0.513,0.487,,,,,,2009
AK,ALEUTIANS WEST,2016,0.136,750,130%,SNAP,185%,other nutrition pgm,0.5,0.33,0.17,n/a,n/a,0.178,100,0.327,0.673,,,,,,2009
AK,ANCHORAGE,2020,0.119,"33,260",130%,SNAP,185%,other nutrition pgm,0.34,0.15,0.51,n/a,n/a,0.186,13680,0.489,0.511,,,,,,2009
AK,BETHEL,2050,0.211,"3,620",130%,SNAP,185%,other nutrition pgm,0.59,0.27,0.14,n/a,n/a,0.314,1940,0.75,0.25,,,,,,2009
AK,BRISTOL BAY,2060,0.095,60,130%,SNAP,185%,other nutrition pgm,0.24,0.36,0.4,n/a,n/a,0.166,40,0.476,0.524,,,,,,2009
AK,DENALI,2068,0.133,200,130%,SNAP,185%,other nutrition pgm,0.28,0.09,0.63,n/a,n/a,0.2,60,0.435,0.565,,,,,,2009
AK,DILLINGHAM,2070,0.176,870,130%,SNAP,185%,other nutrition pgm,0.56,0.14,0.29,n/a,n/a,0.281,460,0.6,0.4,,,,,,2009
AK,FAIRBANKS NORTH STAR,2090,0.126,"12,240",130%,SNAP,185%,other nutrition pgm,0.35,0.16,0.49,n/a,n/a,0.188,4790,0.502,0.498,,,,,,2009
AK,HAINES,2100,0.137,330,130%,SNAP,185%,other nutrition pgm,0.32,0.17,0.51,n/a,n/a,0.207,110,0.194,0.806,,,,,,2009
AK,JUNEAU,2110,0.107,"3,310",130%,SNAP,185%,other nutrition pgm,0.31,0.13,0.56,n/a,n/a,0.183,1340,0.368,0.632,,,,,,2009
AK,KENAI PENINSULA,2122,0.153,"8,120",130%,SNAP,185%,other nutrition pgm,0.42,0.22,0.37,n/a,n/a,0.232,3050,0.603,0.397,,,,,,2009
AK,KETCHIKAN GATEWAY,2130,0.129,"1,700",130%,SNAP,185%,other nutrition pgm,0.43,0.2,0.37,n/a,n/a,0.206,680,0.642,0.358,,,,,,2009
AK,KODIAK ISLAND,2150,0.131,"1,730",130%,SNAP,185%,other nutrition pgm,0.36,0.2,0.44,n/a,n/a,0.216,850,0.487,0.513,,,,,,2009
AK,LAKE AND PENINSULA,2164,0.177,250,130%,SNAP,185%,other nutrition pgm,0.64,0.13,0.23,n/a,n/a,0.263,150,0.668,0.332,,,,,,2009
AK,MATANUSKA SUSITNA,2170,0.146,"11,960",130%,SNAP,185%,other nutrition pgm,0.37,0.16,0.47,n/a,n/a,0.224,5180,0.488,0.512,,,,,,2009
AK,NOME,2180,0.211,"1,970",130%,SNAP,185%,other nutrition pgm,0.68,0.14,0.18,n/a,n/a,0.312,970,0.743,0.257,,,,,,2009
AK,NORTH SLOPE,2185,0.122,820,130%,SNAP,185%,other nutrition pgm,0.53,0.18,0.3,n/a,n/a,0.202,470,0.615,0.385,,,,,,2009
AK,NORTHWEST ARCTIC,2188,0.198,"1,470",130%,SNAP,185%,other nutrition pgm,0.62,0.28,0.1,n/a,n/a,0.288,770,0.786,0.214,,,,,,2009
AK,SITKA,2220,0.117,"1,030",130%,SNAP,185%,other nutrition pgm,0.34,0.22,0.44,n/a,n/a,0.175,360,0.473,0.527,,,,,,2009
AK,SOUTHEAST FAIRBANKS,2240,0.158,"1,070",130%,SNAP,185%,other nutrition pgm,0.41,0.24,0.35,n/a,n/a,0.234,500,0.642,0.358,,,,,,2009
AK,VALDEZ CORDOVA,2261,0.139,"1,320",130%,SNAP,185%,other nutrition pgm,0.34,0.27,0.39,n/a,n/a,0.213,520,0.501,0.499,,,,,,2009
AK,WADE HAMPTON,2270,0.304,"2,310",130%,SNAP,185%,other nutrition pgm,0.86,0.14,0,n/a,n/a,0.436,1360,0.928,0.072,,,,,,2009
