State Name,State Abbreviation,Total Senior Population in 2019,2019 Senior Food Insecurity Rate,# of Food Insecure Seniors in 2019,2019 Senior Very Low Food Security Rate,# of Very Low Food Secure Seniors in 2019,Total Older Adult Population in 2019,2019 Older Adult Food Insecurity Rate,# of Food Insecure Older Adults in 2019,2019 Older Adult Very Low Food Security Rate,# of Very Low Food Secure Older Adults in 2019
Alabama,AL,"1,128,551",9.4%,"105,776",4.2%,"47,850","675,200",15.6%,"105,533",5.6%,"37,788"
Alaska,AK,"127,917",6.7%,"8,609",3.5%,"4,482","89,633",10.7%,"9,576",3.8%,"3,438"
Arizona,AZ,"1,593,019",8.5%,"135,977",2.4%,"37,779","883,230",10.4%,"91,931",3.7%,"32,540"
Arkansas,AR,"698,196",8.2%,"57,508",4.4%,"30,583","368,379",12.9%,"47,370",6.5%,"24,038"
California,CA,"8,030,270",6.3%,"506,182",1.9%,"152,047","4,820,099",9.9%,"478,042",3.3%,"159,934"
Colorado,CO,"1,128,095",9.3%,"105,267",4.1%,"46,475","726,000",3.5%,"25,386",2.3%,"17,025"
Connecticut,CT,"901,393",8.3%,"74,416",3.2%,"28,695","503,840",10.2%,"51,600",3.5%,"17,727"
Delaware,DE,"249,309",6.5%,"16,194",2.5%,"6,295","122,803",9.7%,"11,935",3.6%,"4,473"
District of Columbia,DC,"119,435",13.5%,"16,116",4.1%,"4,881","65,784",7.8%,"5,102",2.0%,"1,334"
Florida,FL,"5,649,503",6.7%,"381,128",3.0%,"167,854","3,020,459",9.6%,"289,241",4.2%,"125,832"
Georgia,GA,"2,090,340",8.3%,"174,449",3.1%,"65,333","1,308,663",9.7%,"126,798",4.1%,"53,578"
Hawaii,HI,"351,574",4.2%,"14,637",1.4%,"4,755","171,678",7.0%,"11,972",1.1%,"1,906"
Idaho,ID,"397,674",4.3%,"17,254",2.1%,"8,348","196,859",9.0%,"17,757",3.4%,"6,743"
Illinois,IL,"2,775,044",7.0%,"193,601",3.0%,"82,765","1,695,661",8.9%,"151,165",4.2%,"71,105"
Indiana,IN,"1,481,518",8.0%,"119,003",3.6%,"53,070","905,184",12.0%,"108,195",3.1%,"28,053"
