State Name,State Abbreviation,Total Senior Population in 2020,2020 Senior Food Insecurity Rate,# of Food Insecure Seniors in 2020,2020 Senior Very Low Food Security Rate,# of Very Low Food Secure Seniors in 2020,Total Older Adult Population in 2020,2020 Older Adult Food Insecurity Rate,# of Food Insecure Older Adults in 2020,2020 Older Adult Very Low Food Security Rate,# of Very Low Food Secure Older Adults in 2020
Alabama,AL,"1,157,458",9.0%,"104,269",2.9%,"34,053","688,944",14.2%,"97,677",5.3%,"36,643"
Alaska,AK,"133,452",5.9%,"7,863",3.8%,"5,072","85,879",11.7%,"10,052",3.1%,"2,687"
Arizona,AZ,"1,711,989",6.9%,"118,018",2.6%,"45,335","852,367",10.0%,"85,230",4.4%,"37,349"
Arkansas,AR,"718,086",6.3%,"45,417",2.8%,"20,373","361,251",16.9%,"61,190",10.2%,"36,909"
California,CA,"8,291,224",6.5%,"541,877",2.1%,"176,888","4,753,277",10.0%,"475,378",3.3%,"155,586"
Colorado,CO,"1,204,460",7.5%,"90,387",3.1%,"37,252","742,718",4.4%,"32,365",2.2%,"16,252"
Connecticut,CT,"905,089",6.6%,"59,899",4.0%,"36,566","525,169",9.7%,"51,168",5.2%,"27,459"
Delaware,DE,"261,167",5.4%,"13,976",2.5%,"6,646","132,085",11.7%,"15,391",4.0%,"5,309"
District of Columbia,DC,"118,230",13.1%,"15,518",3.5%,"4,173","67,531",9.1%,"6,161",2.1%,"1,423"
Florida,FL,"5,900,195",7.8%,"461,273",3.2%,"190,260","2,952,838",8.0%,"234,865",3.7%,"108,870"
Georgia,GA,"2,186,598",9.0%,"196,729",3.4%,"73,789","1,324,890",10.9%,"143,818",4.3%,"57,135"
Hawaii,HI,"355,716",3.6%,"12,650",1.0%,"3,388","171,844",6.3%,"10,848",0.8%,"1,299"
Idaho,ID,"403,102",4.6%,"18,403",2.0%,"8,221","202,362",9.3%,"18,791",4.2%,"8,442"
Illinois,IL,"2,927,014",7.1%,"208,914",2.3%,"66,486","1,530,661",10.3%,"157,902",4.9%,"75,754"
Indiana,IN,"1,428,221",6.6%,"94,495",3.3%,"47,286","876,555",10.4%,"91,586",5.3%,"46,677"
