Type,Name,Address,Start Year,long,lat
Fridge,Buffalo Community Fridge,"286 E Ferry, Buffalo, NY",2020,-78.85354744,42.91517978
Fridge,Big Herk Fridge,"167 Herkimer St, Buffalo, NY",2020,-78.89273099,42.91749211
Fridge,Buffalo Collegiate Love Fridge,"45 Jewett Ave., Buffalo, NY",2021,-78.84239929,42.93391666
Fridge,Fridge at Gloria J. Parks Community,"3242 Main St., Buffalo, NY",2022,-78.82504786,42.95261654
Urban Farm,5 Loaves Farm,"1172 West Ave, Buffalo, NY",2016,-78.7927981,42.90763736
Urban Farm,WestSide Tilth Farm,"246 Normal Ave, Buffalo, NY",2017,-78.88900012,42.90701691
Urban Farm,Common Roots Urban Farm,"309 Peckham St, Buffalo, NY",2012,-78.84278961,42.88760134
Urban Farm,Massachusetts Avenue Project,"387 Massachusetts Ave, Buffalo, NY",1992,-78.88767837,42.91286022
Urban Farm,African Heritage Food Co-op,"132 Edison Ave Buffalo, NY",2016,-78.80231479,42.9266366
Urban Farm,Brewster Street Farm,"119 Jewett Ave, Buffalo, NY",2012,-78.83974454,42.93401033
Urban Farm,Flat #12 Mushrooms,"37 Chandler St Buffalo, New York",,-78.89019599,42.94323996
Urban Farm,Gro-Operative,"1430 Clinton St Buffalo, NY ",,-78.82217316,42.8735918
Urban Farm,Groundwork Market Garden,"1698 Genesee St, Buffalo, NY",,-78.81817642,42.91237195
Urban Farm,Kubed Root,"33 Pannell St. #1 Buffalo, NY ",,-78.83715794,42.93940788
Urban Farm,Michigan-Riley Urban Farm,"108 Riley St, Buffalo, NY",2011,-78.86174361,42.90990648
Urban Farm,Urban Fruits & Veggies,"Dupont St. and Glenwood Ave. Buffalo, NY",,-78.85289889,42.91246659
Urban Farm,Vertical Fresh Farms,"1585 Kenmore Avenue Buffalo, NY",,-78.87657713,42.95894562
Urban Farm,Wilson Street Urban Farms,"360 Wilson Street Buffalo, NY ",,-78.84043656,42.89511674
Urban Farm,Farmer Pirates,"0 Gittere St, Buffalo, NY ",,-78.82695319,42.90164308
Community Garden,D'youville Porter,255 Porter Ave Buffalo,,-78.89244682,42.90082787
Community Garden,Dr. Antonia School of Excellence,125 Hampshire St Buffalo,,-78.89610973,42.91079528
Community Garden,Hillery Park,73 Pawnee Pkwy Buffalo,,-78.80933843,42.86186731
Community Garden,Frank Sedita,21 Lowell Pl Buffalo,,-78.88605503,42.90955689
Community Garden,Hariett Ross Tubman,195 Stanton St Buffalo,,-78.84568646,42.88892247
Community Garden,Hariett Ross Tubman,193 Stanton St Buffalo,,-78.84564354,42.88890822
